segment_key,abercrombie,aritzia,gap,jcrew,target,total,target_pct,gap_pct,median_price_gap,opportunity_score
Shop All Accessories | recycled | Premium,0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,225.0,1125.0
Bags & Wallets | canvas_cotton | Premium,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
Bags & Wallets | canvas_cotton | Mid+,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Bags & Wallets | canvas_cotton | Mid,0.0,0.0,0.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0
Bag Charms & Straps | straw | Entry,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
"Bags, Scarves & More | canvas_cotton | Premium",0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Bags, Scarves & More | leather | Mid+",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bags, Scarves & More | straw | Entry",0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Crossbody & Messenger Bags | unknown | Entry,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,0.0
Fashion Backpacks | unknown | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Fashion Backpacks | recycled | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Fashion Backpacks | nylon | Premium,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fashion Backpacks | nylon | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Fashion Backpacks | nylon | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Crossbody & Messenger Bags | unknown | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Crossbody & Messenger Bags | straw | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Bottoms | canvas_cotton | Mid,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Crossbody & Messenger Bags | recycled | Entry,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0
Crossbody & Messenger Bags | leather | Entry,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0
Crossbody & Messenger Bags | canvas_cotton | Entry,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Bottoms | unknown | Entry,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Bottoms | leather | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bottoms | canvas_cotton | Mid+,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
girls | unknown | Upper Mid,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
