category,mission,price_band,focus_count_in_cell,competitor_count_in_cell,focus_density,competitor_median_density,competitor_max_density,gap,target_count_in_cell,target_density
Bags & Bag Charms,everyday_crossbody,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,micro_mini_impulse,25_35,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,oversized_carryall,50_75,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,statement_fashion,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,weekend_bucket,50_75,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,weekend_bucket,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,work_tote,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,eco_conscious,15_25,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,everyday_crossbody,25_35,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,gym_active,25_35,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,oversized_carryall,0_15,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,oversized_carryall,35_50,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,slg_small_leathers,25_35,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,travel_utility,15_25,0,1,0.0,0.125,0.125,0.125,0,0.0
Beach Bags,weekend_bucket,35_50,0,1,0.0,0.125,0.125,0.125,0,0.0
Shoulder Bags,statement_fashion,25_35,0,2,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,micro_mini_impulse,15_25,0,4,0.0,0.120193,0.125,0.120193,0,0.0
Shop All Accessories,micro_mini_impulse,15_25,0,5,0.0,0.111111,0.111111,0.111111,0,0.0
Shop All Accessories,travel_utility,75_plus,0,5,0.0,0.111111,0.111111,0.111111,0,0.0
Shop All Accessories,value_mass,15_25,0,5,0.0,0.111111,0.111111,0.111111,0,0.0
bags,micro_mini_impulse,75_plus,0,7,0.0,0.111111,0.111111,0.111111,0,0.0
Bag Charms & Straps,travel_utility,0_15,0,1,0.0,0.1,0.1,0.1,0,0.0
Crossbody & Messenger Bags,slg_small_leathers,15_25,0,1,0.0,0.1,0.1,0.1,0,0.0
Shoulder Bags,micro_mini_impulse,25_35,0,3,0.0,0.1,0.1,0.1,0,0.0
women,oversized_carryall,75_plus,0,1,0.0,0.1,0.1,0.1,0,0.0
women,work_tote,75_plus,0,1,0.0,0.1,0.1,0.1,0,0.0
bags,everyday_crossbody,75_plus,0,6,0.0,0.095238,0.095238,0.095238,0,0.0
bags,weekend_bucket,75_plus,0,6,0.0,0.095238,0.095238,0.095238,0,0.0
Shop All Accessories,travel_utility,15_25,0,4,0.0,0.088889,0.088889,0.088889,0,0.0
Shoulder Bags,eco_conscious,35_50,0,3,0.0,0.079167,0.125,0.079167,0,0.0
"Bags, Scarves & More",micro_mini_impulse,0_15,0,6,0.0,0.077922,0.077922,0.077922,0,0.0
"Bags, Scarves & More",minimal_modern,35_50,0,6,0.0,0.077922,0.077922,0.077922,0,0.0
Clutches,micro_mini_impulse,0_15,0,1,0.0,0.076923,0.076923,0.076923,0,0.0
Clutches,occasion_glam,15_25,0,1,0.0,0.076923,0.076923,0.076923,0,0.0
Clutches,slg_small_leathers,0_15,0,1,0.0,0.076923,0.076923,0.076923,0,0.0
Crossbody & Messenger Bags,eco_conscious,35_50,0,1,0.0,0.076923,0.076923,0.076923,0,0.0
Bag Charms & Straps,convertible_multiway,0_15,0,2,0.0,0.075,0.1,0.075,0,0.0
Shop All Accessories,campus_student,15_25,0,3,0.0,0.066667,0.066667,0.066667,0,0.0
Shop All Accessories,campus_student,35_50,0,3,0.0,0.066667,0.066667,0.066667,0,0.0
Shop All Accessories,micro_mini_impulse,35_50,0,3,0.0,0.066667,0.066667,0.066667,0,0.0
Shop All Accessories,travel_utility,25_35,0,3,0.0,0.066667,0.066667,0.066667,0,0.0
Shoulder Bags,occasion_glam,25_35,0,2,0.0,0.066667,0.066667,0.066667,0,0.0
"Bags, Scarves & More",micro_mini_impulse,35_50,0,5,0.0,0.064935,0.064935,0.064935,0,0.0
"Bags, Scarves & More",minimal_modern,50_75,0,5,0.0,0.064935,0.064935,0.064935,0,0.0
"Bags, Scarves & More",weekend_bucket,15_25,0,5,0.0,0.064935,0.064935,0.064935,0,0.0
"Bags, Scarves & More",weekend_bucket,50_75,0,5,0.0,0.064935,0.064935,0.064935,0,0.0
Shoulder Bags,everyday_crossbody,25_35,0,3,0.0,0.064584,0.066667,0.064584,0,0.0
bags,work_tote,75_plus,0,4,0.0,0.063492,0.063492,0.063492,0,0.0
Shoulder Bags,minimal_modern,15_25,0,1,0.0,0.0625,0.0625,0.0625,0,0.0
Shoulder Bags,travel_utility,15_25,0,1,0.0,0.0625,0.0625,0.0625,0,0.0
Shoulder Bags,travel_utility,35_50,0,1,0.0,0.0625,0.0625,0.0625,0,0.0
"Bags, Scarves & More",weekend_bucket,25_35,0,4,0.0,0.051948,0.051948,0.051948,0,0.0
Shoulder Bags,everyday_crossbody,35_50,0,2,0.0,0.047917,0.0625,0.047917,0,0.0
Shoulder Bags,micro_mini_impulse,15_25,0,2,0.0,0.047917,0.0625,0.047917,0,0.0
Shoulder Bags,weekend_bucket,15_25,0,2,0.0,0.047917,0.0625,0.047917,0,0.0
bags,gym_active,75_plus,0,3,0.0,0.047619,0.047619,0.047619,0,0.0
bags,oversized_carryall,75_plus,0,3,0.0,0.047619,0.047619,0.047619,0,0.0
Shop All Accessories,campus_student,25_35,0,2,0.0,0.044444,0.044444,0.044444,0,0.0
Shop All Accessories,everyday_crossbody,25_35,0,2,0.0,0.044444,0.044444,0.044444,0,0.0
Shop All Accessories,festival_outdoor,25_35,0,2,0.0,0.044444,0.044444,0.044444,0,0.0
Shop All Accessories,gym_active,25_35,0,2,0.0,0.044444,0.044444,0.044444,0,0.0
"Bags, Scarves & More",eco_conscious,35_50,0,3,0.0,0.038961,0.038961,0.038961,0,0.0
"Bags, Scarves & More",minimal_modern,15_25,0,3,0.0,0.038961,0.038961,0.038961,0,0.0
"Bags, Scarves & More",minimal_modern,25_35,0,3,0.0,0.038961,0.038961,0.038961,0,0.0
"Bags, Scarves & More",weekend_bucket,35_50,0,3,0.0,0.038961,0.038961,0.038961,0,0.0
Shoulder Bags,eco_conscious,25_35,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
Shoulder Bags,occasion_glam,35_50,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
Shoulder Bags,statement_fashion,15_25,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
Shoulder Bags,statement_fashion,35_50,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
Shoulder Bags,work_tote,25_35,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
Shoulder Bags,work_tote,35_50,0,1,0.0,0.033333,0.033333,0.033333,0,0.0
bags,convertible_multiway,75_plus,0,2,0.0,0.031746,0.031746,0.031746,0,0.0
bags,minimal_modern,75_plus,0,2,0.0,0.031746,0.031746,0.031746,0,0.0
bags,travel_utility,75_plus,0,2,0.0,0.031746,0.031746,0.031746,0,0.0
"Bags, Scarves & More",travel_utility,75_plus,0,2,0.0,0.025974,0.025974,0.025974,0,0.0
Shop All Accessories,everyday_crossbody,0_15,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
Shop All Accessories,micro_mini_impulse,0_15,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
Shop All Accessories,oversized_carryall,25_35,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
Shop All Accessories,travel_utility,35_50,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
Shop All Accessories,travel_utility,50_75,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
Shop All Accessories,weekend_bucket,25_35,0,1,0.0,0.022222,0.022222,0.022222,0,0.0
bags,eco_conscious,75_plus,0,1,0.0,0.015873,0.015873,0.015873,0,0.0
bags,statement_fashion,75_plus,0,1,0.0,0.015873,0.015873,0.015873,0,0.0
bags,value_mass,25_35,0,1,0.0,0.015873,0.015873,0.015873,0,0.0
"Bags, Scarves & More",eco_conscious,50_75,0,1,0.0,0.012987,0.012987,0.012987,0,0.0
"Bags, Scarves & More",everyday_crossbody,25_35,0,1,0.0,0.012987,0.012987,0.012987,0,0.0
"Bags, Scarves & More",work_tote,75_plus,0,1,0.0,0.012987,0.012987,0.012987,0,0.0
